index,pixels
1,258
2,275
3,215
4,177
5,180
6,287
7,243
8,321
9,232
10,207
11,214
12,270
13,198
14,273
15,187
16,222
17,196
18,246
19,226
20,262
21,309
22,214
23,196
24,248
25,249
26,159
27,199
28,261
29,250
30,257
31,180
32,179
33,184
34,200
35,187
36,261
37,146
38,231
39,210
40,267
41,272
42,224
43,208
44,208
45,44
46,199
47,273
48,272
49,282
50,257
51,237
52,174
53,270
54,244
55,216
56,239
57,238
58,249
59,249
60,189
61,281
62,229
63,292
64,182
65,43
66,187
67,101
68,285
69,301
70,226
71,224
72,78
73,186
74,124
75,155
76,248
77,245
78,243
79,262
80,237
81,386
82,248
83,220
84,233
85,238
86,407
87,254
88,235
89,238
90,215
91,264
92,354
93,267
94,228
95,228
96,202
97,392
98,95
99,122
100,362
101,293
102,298
103,79
104,215
105,177
106,160
107,246
108,226
109,171
110,215
111,252
112,201
113,228
114,205
115,234
116,39
117,224
118,237
119,238
120,240
121,222
122,74
123,229
124,233
125,212
126,236
127,60
128,170
129,193
130,179
131,219
132,232
133,213
134,207
135,292
136,255
137,228
138,180
139,216
140,246
141,260
142,232
143,180
144,271
145,159
146,278
147,243
148,265
149,121
150,259
151,266
152,214
153,246
154,205
155,182
156,237
157,119
158,175
159,191
160,259
161,227
162,278
163,177
164,273
165,288
166,276
167,264
168,271
169,190
170,177
171,313
172,362
173,254
174,237
175,331
176,314
177,306
178,282
179,386
180,293
181,344
182,134
183,68
184,250
185,232
186,83
187,152
188,285
189,271
190,370
191,290
192,266
193,251
194,394
195,103
196,237
197,214
198,246
199,57
200,196
201,88
202,286
203,276
204,140
205,122
206,381
207,118
208,57
209,121
210,265
211,102
212,196
213,251
214,284
215,287
216,232
217,240
218,177
219,51
220,280
221,177
222,253
223,365
224,287
225,376
226,188
227,103
228,214
229,293
230,193
231,235
232,298
233,134
234,76
235,225
236,237
237,269
238,290
239,235
240,311
241,187
242,247
243,405
244,302
245,178
246,385
247,156
248,365
249,398
250,69
251,86
252,166
253,52
254,227
255,260
256,170
257,222
258,275
259,227
260,182
261,66
262,164
263,145
264,120
265,225
266,376
267,64
268,390
269,288
270,255
271,167
272,255
273,249
274,298
275,298
276,298
277,247
278,293
279,293
280,290
281,220
282,288
283,222
284,286
285,221
286,284
287,208
288,282
289,196
290,280
291,179
292,278
293,173
294,276
295,169
296,275
297,166
298,273
299,138
300,271
301,137
302,269
303,388
304,362
305,320
306,94
307,266
308,200
309,108
310,232
311,229
312,209
313,168
314,221
315,261
316,170
317,59
318,248
319,187
320,112
321,166
322,195
323,187
324,221
325,88
326,46
327,76
328,308
329,282
330,264
331,264
332,250
333,243
334,237
335,232
336,233
337,157
338,229
339,80
340,232
341,232
342,228
343,227
344,225
345,220
346,209
347,207
348,206
349,144
350,202
351,201
