index,pixels
1,74
2,82
3,59
4,74
5,76
6,75
7,134
8,87
9,52
10,34
11,93
12,77
13,76
14,66
15,76
16,87
17,83
18,83
19,97
20,177
21,90
22,89
23,76
24,87
25,55
26,15
27,37
28,158
29,93
30,81
31,153
32,56
33,106
34,57
35,60
36,96
37,76
38,59
39,76
40,48
41,102
42,54
43,61
44,82
45,62
46,76
47,69
48,41
49,68
50,33
51,49
52,34
53,22
54,84
55,71
56,70
57,66
58,28
59,65
60,76
61,179
62,62
63,67
64,66
65,64
66,69
67,71
68,34
69,34
70,49
71,78
72,65
73,170
74,61
75,40
76,108
77,103
78,86
79,70
80,51
81,57
82,41
83,77
84,152
85,78
86,42
87,83
88,67
89,67
