index,pixels
1,325
2,126
3,9
4,120
5,283
6,108
7,295
8,323
9,269
10,144
11,219
12,154
13,307
14,178
15,146
16,216
17,136
18,214
19,171
20,126
21,123
22,124
23,88
24,61
25,123
26,124
27,115
28,325
29,322
30,147
31,60
32,90
33,328
34,97
35,208
36,140
37,105
38,314
39,148
40,130
41,22
42,315
43,51
44,315
45,304
46,238
47,120
48,127
49,268
50,66
51,203
52,125
53,150
54,151
55,145
56,153
57,205
58,35
59,271
60,138
61,300
62,116
63,261
64,16
65,24
66,56
67,92
68,133
69,82
70,132
71,164
72,258
73,138
74,293
75,144
76,44
77,193
78,336
79,48
80,56
81,287
82,42
83,52
84,204
85,169
86,278
87,43
88,171
89,136
90,255
91,310
92,336
93,278
94,81
95,331
96,274
97,120
98,123
99,304
100,187
101,209
102,83
103,66
104,81
105,106
106,61
107,36
108,38
109,38
110,342
111,76
112,77
113,65
114,323
115,61
116,34
117,248
118,60
119,52
120,303
121,318
122,321
123,140
124,147
125,43
126,48
127,44
128,153
129,315
130,377
131,52
132,179
133,34
134,36
135,257
136,289
137,304
138,147
139,51
140,95
141,78
142,55
143,134
144,280
145,74
146,164
147,21
148,147
149,21
150,56
151,63
152,119
153,117
154,154
155,55
156,124
157,199
158,49
159,99
160,189
161,70
162,149
163,95
164,280
165,86
166,132
167,240
168,198
169,46
170,97
171,84
172,91
173,110
174,137
175,134
176,59
177,280
178,75
179,120
180,48
181,106
182,97
183,309
184,33
185,337
186,116
187,36
188,163
189,6
190,149
191,70
192,42
193,45
194,148
195,298
196,75
197,81
198,86
199,264
200,168
201,126
202,264
203,115
204,41
205,159
206,156
207,276
208,116
209,58
210,236
211,85
212,48
213,292
214,98
215,82
216,271
217,89
218,87
219,49
220,138
221,144
222,105
223,51
224,46
225,139
226,42
227,235
228,58
229,311
230,113
231,317
232,214
233,69
234,34
235,73
236,295
237,244
238,107
239,65
240,66
241,206
242,305
243,231
244,83
245,112
246,83
247,92
248,220
249,194
250,171
251,54
252,58
253,118
254,66
255,94
256,58
257,195
258,83
259,142
260,307
261,50
262,248
263,82
264,44
265,76
266,124
267,64
268,73
269,28
270,57
271,145
272,155
273,43
274,321
275,300
276,68
277,229
278,45
279,200
280,82
281,21
282,278
283,32
284,42
285,78
286,16
287,208
288,37
289,45
290,197
291,68
292,85
293,128
294,153
295,132
296,143
297,247
298,293
299,55
300,117
301,186
302,185
303,118
304,282
305,61
306,209
307,145
308,148
309,308
310,252
311,72
312,56
313,111
314,159
315,44
316,130
317,366
318,16
319,130
320,186
321,58
322,191
323,66
324,83
325,69
326,123
327,154
328,310
329,108
330,183
331,173
332,141
333,216
334,102
335,181
336,269
337,155
338,311
339,231
340,116
341,299
