index,pixels
1,83
2,78
3,74
4,47
5,67
6,90
7,84
8,56
9,85
10,78
11,106
12,87
13,73
14,82
15,59
16,78
17,76
18,87
19,88
20,88
21,82
22,92
23,76
24,100
25,111
26,69
27,104
28,75
29,92
30,72
31,65
32,60
33,104
34,66
35,16
36,86
37,28
38,50
39,73
40,81
41,111
42,77
43,77
44,91
45,72
46,86
47,49
48,64
49,15
50,41
51,58
52,57
53,64
54,53
55,23
56,75
57,65
58,66
59,117
60,73
61,40
62,81
63,74
64,76
65,72
66,41
67,58
68,48
69,74
70,180
71,67
72,55
73,95
74,114
75,66
76,84
77,92
78,61
79,103
80,53
81,49
82,85
83,93
84,43
85,65
86,86
87,73
88,26
89,76
90,74
91,81
92,62
93,59
94,12
