index,pixels
1,258
2,275
3,215
4,177
5,180
6,287
7,243
8,321
9,232
10,207
11,214
12,270
13,198
14,273
15,187
16,222
17,196
18,246
19,226
20,262
21,309
22,214
23,196
24,248
25,249
26,159
27,199
28,261
29,250
30,257
31,180
32,179
33,184
34,200
35,187
36,261
37,146
38,231
39,210
40,267
41,272
42,224
43,208
44,208
45,44
46,199
47,273
48,272
49,282
50,257
51,237
52,174
53,270
54,244
55,216
56,239
57,238
58,249
59,249
60,189
61,281
62,229
63,292
64,182
65,43
66,187
67,101
68,285
69,301
70,226
71,224
72,78
73,186
74,124
75,155
76,248
77,245
78,243
79,262
80,237
81,386
82,248
83,220
84,233
85,238
86,407
87,254
88,235
89,238
90,215
91,264
92,354
93,267
94,228
95,228
96,202
97,392
98,95
99,122
100,362
101,293
102,298
103,79
104,215
105,177
106,160
107,246
108,226
109,171
110,215
111,252
112,201
113,228
114,205
115,234
116,39
117,224
118,237
119,238
120,240
121,222
122,74
123,229
124,233
125,212
126,236
127,60
128,170
129,193
130,179
131,219
132,232
133,213
134,207
135,292
136,255
137,228
138,180
139,216
140,246
141,260
142,232
143,180
144,271
145,159
146,278
147,243
148,265
149,121
150,259
151,266
152,214
153,246
154,205
155,182
156,237
157,119
158,175
159,191
160,259
161,227
162,278
163,177
164,273
165,288
166,276
167,264
168,271
169,190
170,177
171,313
172,362
173,254
174,237
175,331
176,314
177,306
178,282
179,386
180,293
181,344
182,134
183,68
184,250
185,232
186,83
187,152
188,285
189,271
190,370
191,290
192,266
193,251
194,394
195,103
196,237
197,36
198,246
199,57
200,196
201,88
202,286
203,251
204,140
205,122
206,25
207,118
208,57
209,121
210,265
211,102
212,196
213,251
214,284
215,287
216,232
217,240
218,177
219,51
220,280
221,177
222,253
223,365
224,287
225,376
226,188
227,103
228,214
229,293
230,193
231,235
232,25
233,134
234,76
235,225
236,237
237,269
238,290
239,235
240,311
241,187
242,247
243,405
244,302
245,178
246,385
247,156
248,178
249,365
250,398
251,69
252,86
253,166
254,52
255,227
256,260
257,170
258,222
259,275
260,227
261,182
262,66
263,164
264,145
265,120
266,225
267,376
268,64
269,390
270,288
271,255
272,167
273,255
274,249
275,298
276,298
277,298
278,247
279,293
280,293
281,298
282,290
283,220
284,288
285,222
286,286
287,221
288,284
289,208
290,282
291,196
292,280
293,179
294,278
295,173
296,276
297,169
298,275
299,166
300,273
301,138
302,271
303,137
304,269
305,388
306,362
307,356
308,320
309,94
310,266
311,200
312,108
313,232
314,229
315,209
316,168
317,221
318,261
319,170
320,59
321,248
322,187
323,112
324,166
325,195
326,187
327,221
328,88
329,46
330,76
331,308
332,282
333,264
334,264
335,250
336,243
337,237
338,232
339,233
340,157
341,229
342,80
343,232
344,232
345,228
346,227
347,225
348,220
349,209
350,207
351,206
352,144
353,202
354,201
